userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Miftahuzni,1,"susah dapet driver,pesenan susah di batalin . driver sampe ganti 3x .. hadeuh gojek ini pelayanan nya astaga bgt",2026-03-29 06:39:36,susah dapet driverpesenan susah di batalin driver sampe ganti x hadeuh gojek ini pelayanan nya astaga bgt,negatif,susah dapet driver pesenan susah batalin driver sampe ganti hadeuh gojek ini pelayanan nya astaga,susah dapet driver pesenan susah batalin driver sampe ganti hadeuh gojek ini pelayanan nya astaga,susah dapat driver persenan susah batalion driver sampai ganti aduh gojek ini pelayanan nya astaga,susah dapat driver persenan susah batalion driver sampai ganti aduh gojek ini pelayanan astaga
kenzo algevaro,1,"pesen makanan doang lama banget 65-75? udh ditunggu eh dibatalin, nyesel gua percaya gojek, MENDING PAKE GRAB KALO GA SHOPPE AJA BUAT MAKAN. GOJEK GA REKOMENDASI",2026-03-29 06:35:53,pesen makanan doang lama banget udh ditunggu eh dibatalin nyesel gua percaya gojek mending pake grab kalo ga shoppe aja buat makan gojek ga rekomendasi,negatif,pesen makanan doang lama banget udh ditunggu dibatalin nyesel gua percaya gojek mending pake grab kalo ga shoppe aja buat makan gojek ga rekomendasi,pesen makanan doang lama banget udh ditunggu dibatalin nyesel gua percaya gojek mending pake grab kalo ga shoppe aja buat makan gojek ga rekomendasi,pesan makanan doang lama banget sudah ditunggu dibatalin menyesal gua percaya gojek mending pakai grab kalo tidak shoppe saja buat makan gojek tidak rekomendasi,pesan makanan lama sudah ditunggu dibatalin menyesal percaya gojek mending pakai grab tidak shoppe saja buat makan gojek tidak
Lorenzo Gress,1,susah dapet driver,2026-03-29 06:32:29,susah dapet driver,negatif,susah dapet driver,susah dapet driver,susah dapat driver,susah dapat driver
Hana Anis,2,di mamuju sulawesi. kalau pesan makanan lama banget sejam .. pdhal dekat rumah,2026-03-29 06:31:46,di mamuju sulawesi kalau pesan makanan lama banget sejam pdhal dekat rumah,negatif,mamuju sulawesi kalau pesan makanan lama banget sejam dekat rumah,mamuju sulawesi kalau pesan makanan lama banget sejam dekat rumah,mamuju sulawesi kalau pesan makanan lama banget sejam dekat rumah,mamuju sulawesi kalau pesan makanan lama sejam dekat rumah
lemonade,1,"ngaco banget sistemnya, dapet driver jauh 1km lebih, bukan apa apa tapi kasihan ke drivenya kocak, driver kalo lama dateng di cancel otomatis dari aplikasi, padahal salah sistem kenapa nyari gojek selalu yang jauh terus, mana kadang suka nyuruh cancel alasannya lagi makan, minum, eek, berak, modol",2026-03-29 06:14:45,ngaco banget sistemnya dapet driver jauh km lebih bukan apa apa tapi kasihan ke drivenya kocak driver kalo lama dateng di cancel otomatis dari aplikasi padahal salah sistem kenapa nyari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,negatif,ngaco banget sistemnya dapet driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver kalo lama dateng cancel otomatis dari aplikasi padahal salah sistem kenapa nyari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,ngaco banget sistemnya dapet driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver kalo lama dateng cancel otomatis dari aplikasi padahal salah sistem kenapa nyari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,mengaco banget sistemnya dapat driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver kalo lama datang cancel otomatis dari aplikasi padahal salah sistem kenapa mencari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,mengaco sistemnya dapat driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver lama datang cancel otomatis aplikasi salah sistem kenapa mencari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol
Ilmaniar Kamahara,3,"gojek sekarang bikin kecewa, akhir2 ini susahh bangett dapat driver entah dari goride, gocar atau gofood juga",2026-03-29 06:11:44,gojek sekarang bikin kecewa akhir ini susahh bangett dapat driver entah dari goride gocar atau gofood juga,netral,gojek sekarang bikin kecewa ini susahh bangett dapat driver entah dari goride gocar atau gofood juga,gojek sekarang bikin kecewa ini susahh bangett dapat driver entah dari goride gocar atau gofood juga,gojek sekarang bikin kecewa ini susah banget dapat driver entah dari goride gocar atau gofood juga,gojek sekarang kecewa ini susah dapat driver entah goride gocar atau gofood
Edrus Himawan,5,mantaf,2026-03-29 06:11:31,mantaf,positif,mantaf,mantaf,manta,manta
doel baba,5,ok,2026-03-29 06:01:40,ok,positif,ok,ok,baik,baik
Devi Anggraeni,1,makin lama makin gajelas,2026-03-29 05:56:42,makin lama makin gajelas,negatif,makin lama makin gajelas,makin lama makin gajelas,makin lama makin enggak jelas,makin lama makin enggak jelas
BLURR I ANK,5,GOOD....!,2026-03-29 05:47:24,good,positif,good,good,good,good
Juliadi Boy,5,okey,2026-03-29 05:40:53,okey,positif,okey,okey,okey,okey
Steven Hartono,5,bagus,2026-03-29 05:36:41,bagus,positif,bagus,bagus,bagus,bagus
Sugiono Rahmat,3,sangat membantu,2026-03-29 05:29:27,sangat membantu,netral,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Nazriel Ismail,1,"pelayanan terburuk di dunia, driver susah di dapat",2026-03-29 05:25:46,pelayanan terburuk di dunia driver susah di dapat,negatif,pelayanan terburuk dunia driver susah dapat,pelayanan terburuk dunia driver susah dapat,pelayanan terburu dunia driver susah dapat,pelayanan terburu dunia driver susah dapat
Nur Atikah,2,"cri driver aja lama bgt, pdhl udh di prioritasin",2026-03-29 05:17:54,cri driver aja lama bgt pdhl udh di prioritasin,negatif,cri driver aja lama udh prioritasin,cri driver aja lama udh prioritasin,cari driver saja lama sudah prioritas,cari driver saja lama sudah prioritas
Zull Zull,5,mantap gojek Gorontalo,2026-03-29 05:12:59,mantap gojek gorontalo,positif,mantap gojek gorontalo,mantap gojek gorontalo,mantap gojek gorontalo,mantap gojek gorontalo
supriadi alfiatnah,1,"saya pesan makanan sudah saya transfer ke gopay drivernya dan pesanan saya di cancel ,gimana ini gojek kurang amanah driver penipu di loloskan gabung di gojek nama account nya Muhammad Iqbal Saputra DD4106XBM",2026-03-29 05:12:03,saya pesan makanan sudah saya transfer ke gopay drivernya dan pesanan saya di cancel gimana ini gojek kurang amanah driver penipu di loloskan gabung di gojek nama account nya muhammad iqbal saputra ddxbm,negatif,saya pesan makanan sudah saya transfer gopay drivernya dan pesanan saya cancel gimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account nya muhammad iqbal saputra,saya pesan makanan sudah saya transfer gopay drivernya dan pesanan saya cancel gimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account nya muhammad iqbal saputra,saya pesan makanan sudah saya transfer gopay drivernya dan pesanan saya cancel bagaimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account nya muhammad iqbal saputra,saya pesan makanan sudah saya transfer drivernya dan pesanan saya cancel bagaimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account muhammad iqbal saputra
Nisrina Nasywa,1,"so sory, apk ini awalnya bagus bgt bisa ngebantu banyak hal. but makin kesini makin GAJELAS SISTEMNYA. kasian customer susah bgt dapet drivernya, pdhal di sisi lain para driver juga pada ga dapet orderan. DIPERBAIKI!!! jangan sampe gara² udh punya nama, jadi asal asalan pelayanannya",2026-03-29 05:03:09,so sory apk ini awalnya bagus bgt bisa ngebantu banyak hal but makin kesini makin gajelas sistemnya kasian customer susah bgt dapet drivernya pdhal di sisi lain para driver juga pada ga dapet orderan diperbaiki jangan sampe gara udh punya nama jadi asal asalan pelayanannya,negatif,sory apk ini awalnya bagus bisa ngebantu banyak hal but makin kesini makin gajelas sistemnya kasian customer susah dapet drivernya sisi lain para driver juga pada ga dapet orderan diperbaiki jangan sampe gara udh punya nama jadi asal asalan pelayanannya,sory apk ini awalnya bagus bisa ngebantu banyak hal but makin kesini makin gajelas sistemnya kasian customer susah dapet drivernya sisi lain para driver juga pada ga dapet orderan diperbaiki jangan sampe gara udh punya nama jadi asal asalan pelayanannya,sory aplikasi ini awalnya bagus bisa membantu banyak hal but makin kesini makin enggak jelas sistemnya kasihan customer susah dapat drivernya sisi lain para driver juga pada tidak dapat orderan diperbaiki jangan sampai gara sudah punya nama jadi asal asalan pelayanannya,sory aplikasi ini awalnya bagus bisa membantu banyak hal but makin kesini makin enggak jelas sistemnya kasihan customer susah dapat drivernya sisi lain para driver pada tidak dapat orderan diperbaiki jangan sampai gara sudah punya nama jadi asal asalan pelayanannya
Winarko HS,5,"Terimakasih sudah diantar tepat waktu, komunikasi drivernya baik, ramah, perjalanan aman dan lancar... 🙏",2026-03-29 04:57:03,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,positif,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar
Danang Dwi Kustianto,1,"banyak driver gak mau ambil jemputan, pelayanannya gimana",2026-03-29 04:50:37,banyak driver gak mau ambil jemputan pelayanannya gimana,negatif,banyak driver gak mau ambil jemputan pelayanannya gimana,banyak driver gak mau ambil jemputan pelayanannya gimana,banyak driver enggak mau ambil jemputan pelayanannya bagaimana,banyak driver enggak mau ambil jemputan pelayanannya bagaimana
Mustika Kania,5,ramah,2026-03-29 04:41:30,ramah,positif,ramah,ramah,ramah,ramah
Ikhwan Pribadi,5,good,2026-03-29 04:21:37,good,positif,good,good,good,good
Deko Handoko,5,bisa pesan makanan,2026-03-29 04:00:14,bisa pesan makanan,positif,bisa pesan makanan,bisa pesan makanan,bisa pesan makanan,bisa pesan makanan
Wirda Hayati,5,terima kasih bang. .. terpercaya dan tepat waktu,2026-03-29 03:55:06,terima kasih bang terpercaya dan tepat waktu,positif,terima kasih bang terpercaya dan tepat waktu,terima kasih bang terpercaya dan tepat waktu,terima kasih bang tepercaya dan tepat waktu,terima kasih bang tepercaya dan tepat waktu
Faizan Nafis,1,"lelet, sudah pesan gofood ga ada drivernya. dapat driver 9 kali malah di cancel semua, aplikasi apaan ini sistem gofoodnya begitu",2026-03-29 03:54:29,lelet sudah pesan gofood ga ada drivernya dapat driver kali malah di cancel semua aplikasi apaan ini sistem gofoodnya begitu,negatif,lelet sudah pesan gofood ga ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,lelet sudah pesan gofood ga ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,lelet sudah pesan gofood tidak ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,lelet sudah pesan gofood tidak ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu
kombel cakrawisdom,5,senang memnggunakan aplikasi gojek semuanya bisa cukup dr rumah sdh bisa dilakukan,2026-03-29 03:49:35,senang memnggunakan aplikasi gojek semuanya bisa cukup dr rumah sdh bisa dilakukan,positif,senang memnggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,senang memnggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,senang menggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,senang menggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan
Syahril Ramadhan,5,terlalu lama ini mendapatkan kurir lawak,2026-03-29 03:46:24,terlalu lama ini mendapatkan kurir lawak,positif,terlalu lama ini mendapatkan kurir lawak,terlalu lama ini mendapatkan kurir lawak,terlalu lama ini mendapatkan kurir lawak,terlalu lama ini mendapatkan kurir lawak
Tarmin Raenanda,5,Sangat membantu sekali,2026-03-29 03:44:55,sangat membantu sekali,positif,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
Arveni Tulangow,5,Mantap,2026-03-29 03:37:13,mantap,positif,mantap,mantap,mantap,mantap
Callista 08,5,sangat senang dan sangat membantu sekali pake aplikasi gocar,2026-03-29 03:32:50,sangat senang dan sangat membantu sekali pake aplikasi gocar,positif,sangat senang dan sangat membantu sekali pake aplikasi gocar,sangat senang dan sangat membantu sekali pake aplikasi gocar,sangat senang dan sangat membantu sekali pakai aplikasi gocar,sangat senang dan sangat membantu sekali pakai aplikasi gocar
Veno Oktobrian,1,"semakin kesini semakin buruk aplikasinya sering banget eror gajelas, masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru",2026-03-29 03:22:11,semakin kesini semakin buruk aplikasinya sering banget eror gajelas masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru,negatif,semakin kesini semakin buruk aplikasinya sering banget eror gajelas masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru,semakin kesini semakin buruk aplikasinya sering banget eror gajelas masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru,semakin kesini semakin buruk aplikasinya sering banget eror enggak jelas masukan saja mending sistem aplikasinya dibenerin biar tidak lemot karena menyusahkan kalau buat yang terburu buru,semakin kesini semakin buruk aplikasinya sering enggak jelas masukan saja mending sistem aplikasinya dibenerin biar tidak lemot karena menyusahkan kalau buat yang terburu buru
Ruddy Ruslie,5,Membantu. ok.,2026-03-29 03:21:41,membantu ok,positif,membantu ok,membantu ok,membantu baik,membantu baik
Uing Tea,4,kita coba babak baru.....,2026-03-29 03:21:24,kita coba babak baru,positif,kita coba babak baru,kita coba babak baru,kita coba babak baru,kita coba babak baru
Fino Ardian,3,"lama lama gojek kurang ajar masa ongkir mahal bgt, padahal Deket saya pemakai gofood 3 tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa 3x saya pesen gofood masa skrg lama lama kayak gak ngotak udah ongkos mahal, waktu nunggu bisa 1 Jam juga niat apa gak bikin fitur gofood apa nyontek ke shoppefood yang waktu anternya lama",2026-03-29 03:18:53,lama lama gojek kurang ajar masa ongkir mahal bgt padahal deket saya pemakai gofood tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa x saya pesen gofood masa skrg lama lama kayak gak ngotak udah ongkos mahal waktu nunggu bisa jam juga niat apa gak bikin fitur gofood apa nyontek ke shoppefood yang waktu anternya lama,netral,lama lama gojek kurang ajar masa ongkir mahal padahal deket saya pemakai gofood tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa saya pesen gofood masa lama lama kayak gak ngotak udah ongkos mahal waktu nunggu bisa jam juga niat apa gak bikin fitur gofood apa nyontek shoppefood yang waktu anternya lama,lama lama gojek kurang ajar masa ongkir mahal padahal deket saya pemakai gofood tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa saya pesen gofood masa lama lama kayak gak ngotak udah ongkos mahal waktu nunggu bisa jam juga niat apa gak bikin fitur gofood apa nyontek shoppefood yang waktu anternya lama,lama lama gojek kurang ajar masa ongkir mahal padahal dekat saya pemakai gofood tahun belakangan setiap hari saya pesan gofood bahkan sehari bisa saya pesan gofood masa lama lama kayak enggak ngotak sudah ongkos mahal waktu menunggu bisa jam juga niat apa enggak bikin fitur gofood apa nyontek shoppefood yang waktu anternya lama,lama lama gojek kurang ajar masa ongkir mahal dekat saya pemakai gofood tahun belakangan setiap hari saya pesan gofood bahkan sehari bisa saya pesan gofood masa lama lama kayak enggak ngotak sudah ongkos mahal waktu menunggu bisa jam niat apa enggak fitur gofood apa nyontek shoppefood yang waktu anternya lama
